id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJOS_Gq9VI0xQR4BDNwxDclV0,Turkish State Cemetery,"Milli Savunma Bakanlığı Devlet Büyükleri Anıt Mezarlığı, Gazi, Silahtar Cd., 06000 Yenimahalle/Ankara, Türkiye",39.9353706,32.808589999999995,"[""museum"", ""cemetery"", ""point_of_interest"", ""establishment""]",4.5,105.0,
ChIJIxsdbNdI0xQRGQU6enBVzF4,Atatürk Evi Müzesi,"Beştepe, 06560 Yenimahalle/Ankara, Türkiye",39.9360917,32.7980523,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.6,464.0,
ChIJufZUxYpO0xQRon6J4Qkk13M,Republic Museum (The Second Parliament Building),"Doğanbey Mahallesi, Cumhuriyet Cd. No:7, 06050 Altındağ/Ankara, Türkiye",39.9411625,32.8515237,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.9,7612.0,
ChIJ9dHE-lhO0xQRNbnFwVTp-jo,Ankara Painting and Sculpture Museum,"Hacettepe, Türkocağı Sk. Resim Ve Heykel Müzesi, 06230 Altındağ/Ankara, Türkiye",39.9332721,32.8557004,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.7,3301.0,
ChIJJ7Z_4V9O0xQRxug5wvw3LoA,PTT Stamp Museum,"Hacı Bayram, Atatürk Blv No:13, 06050 Altındağ/Ankara, Türkiye",39.938151,32.854637,"[""museum"", ""point_of_interest"", ""establishment""]",4.6,2315.0,
ChIJm03nSvVO0xQRMkM4ENEa7Ng,Ankara Palas,"Doğanbey Mh, Cumhuriyet Cd. No:3, 06030 Altındağ/Ankara, Türkiye",39.9406875,32.8523143,"[""museum"", ""point_of_interest"", ""establishment""]",4.6,1116.0,
ChIJh21AuGBO0xQR6I9gJ9kxT8g,Suluhan Bazaar,"Anafartalar Mahallesi, Şht. Teğmen Kalmaz Posta Cd No:38, 06050 Altındağ/Ankara, Türkiye",39.9396966,32.8584898,"[""shopping_mall"", ""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.2,18844.0,
ChIJUY_wDXlP0xQRvAIh0jOz2ho,Kelime Müzesi,"Kale, Gözcü Sk. No:11, 06080 Altındağ/Ankara, Türkiye",39.9382649,32.8627115,"[""museum"", ""point_of_interest"", ""establishment""]",4.6,2269.0,
ChIJ9b_Z9mdO0xQRNU5BMBpIICo,Rahmi M. Koc Museum Ankara,"Kale, Hacettepe, Depo Sokak No:1, 06230 Altındağ/Ankara, Türkiye",39.9372464,32.8634883,"[""museum"", ""point_of_interest"", ""establishment""]",4.8,7106.0,
ChIJt4xd-7hP0xQRpqZFdfS6y7E,Anne Müzesi,"Hacettepe, Salaş Sk. no:12, 06950 Altındağ/Ankara, Türkiye",39.9360108,32.87138,"[""museum"", ""point_of_interest"", ""establishment""]",4.5,574.0,
ChIJYQYgXUJO0xQRpq-D_pVVeYE,Gökyay Foundation Chess Museum,"Hacettepe, Basamaklı Sokak No:3, 06230 Altındağ/Ankara, Türkiye",39.9347854,32.8632624,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.7,1845.0,
ChIJ6ydcmSpP0xQRVfXO1JxjUJQ,Mamak Belediyesi Şehitlik Bilim Merkezi ve Uyanık Kütüphane,"Şafaktepe, Mamak Cd. no:59, 06340 Mamak/Ankara, Türkiye",39.9360046,32.888668,"[""library"", ""point_of_interest"", ""establishment""]",4.2,205.0,
ChIJQwMkwNFI0xQR3NGoPa9yMrY,Atatürk Forest Farm Museum and Exhibition Hall,"AOÇ Bal Fabrikası yanı, Gazi, Cumhurbaşkanlığı Blv No:68, 06560 Yenimahalle/Ankara, Türkiye",39.9446046,32.794208999999995,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.3,274.0,
