table_name,place_id,primary_photo_name
bars_nightclubs_places,ChIJ3_h1NsRF0xQRl-wdAULL9fA,places/ChIJ3_h1NsRF0xQRl-wdAULL9fA/photos/AU_ZVEErsuTt1TtI-jVKLE_wYOEMLHs5lwSjd4ICwD1GrUJLfamcKrc03Y4pTVYM3fT7C1me7tspDa5kJzXkoFvQO--CdEY0JiQ6z6D1yLXc2SW_WiqxyA_A-axBF_vPEZm_3FHjhCFdEPGU6TgugIr8UeOe2P-fleX4pBaU1y_yzl-EJ48HBZxp_2i0_WrCN84K8dBePUi85-DT0IzKL9RV6XXBrucIqNp83ZJWCLaXKh9cH-KPTiamWnpxZazeTi9XSzVjjthPsf4yOM4QueQbfhTmJaiHMPb7ZRtoIQH5tAa34Q
bars_nightclubs_places,ChIJ45KmD3E_0xQRPWrmM8X_vM4,places/ChIJ45KmD3E_0xQRPWrmM8X_vM4/photos/AU_ZVEGimFsC1BtAfDyLcuOcGbkNpRI1RS8wr6YsPMWhJ8QeM6HUE5DpyeqssS8dvYvyv5Y5sF2_3g52nld3FiQYqlR-iMyerzoEJG4L95omWBJ1TAblivP_EpsDQhUOWOVzBCoAyZq8_-y3qHMSQhN89SsqBP9RVdjgblNnk9EifAiVu6o9Xs2hOUk2cWZLss_3-x2InM636xx74JpwmD7ef4FVM_azVnD9iaLG_mtoCThqsxORRXh-BEnDr5xnFMOemyjyrUT5ii4pMmoVTZ05htskeFR13Jxs7A8GMa-sp-u9rw
bars_nightclubs_places,ChIJ49S0Ry8_0xQR0uj3x4XSr28,places/ChIJ49S0Ry8_0xQR0uj3x4XSr28/photos/AU_ZVEHqLs6GqKqW2UjJlgab-hCgEiiGB_7t7mkkmcjjjU90Imy3HWyB6HqMJVgiP1H-iPWeuEnusOYhBRx4yEtuj1fB03gbc3xGarS2KUMZ-OCCD8rm1YZ3LRqCLp7OV_HQSRjSuR8q3mGn1Ib7vHo9j8tzDVWWs83RIxOzw9QDa4lyyMlOAyjSn7v1PE3ef_hRxww1E0mxtCg3nt_vOHGwGh557w9NdK-nsymDT6ev2SVZkYATy0LHwpJDmtjPDcBt4Ntwz1HP8eaFcIRzQZLCNotQGza4EprK5T8hKTqyJgTljSzy2EwwZHtzkOmh2c-ejIAMFpDCCrKDM3JLy7WwCFiv1i3i_aUnT4SLbOXh3pjqmgeprgTsWuUj7X7sRgu-URwdem5wq5-_aEmFKl5w89xycgT2K4TIl4XrG9iMG94e-VWqd7kQ5cqEUpecPA
bars_nightclubs_places,ChIJ4xdfdLlP0xQR_06IKoLT4cs,places/ChIJ4xdfdLlP0xQR_06IKoLT4cs/photos/AU_ZVEF4txj4Mc22U2DyoS67Zj9UIZIqONPkKV76RaUId8Dy6NhMZsOVg-iskRHhDCvEBfvxnPap_G-vQKFIOx6jTvxqVdZv9oXNVmIi4rJcMw7zF3K8mvltOMnCbrUuLWSJT1kBhIeSARkn0j4XvUERvwRJXG_UKHWCfutj8-QwVPrO9IZLlKeijliJt2CzJVMCfzazBIGiRnwzSflOoWR411hsZYbPcvfVtm-TzTUddhnQbkipDkyhMgTn78XDa55uTCmOtT5teyBPO5ANr2rb2bIqpLbaX2IaS5G7IKuiDMlzAVB9CbhoZFNSY33gaj-erNZj5GvMii8jYcsuF9vMEQDFXDi1DDmYzEVfkZvwG0byzykAoXGHDzivW8KOWn9eZrJodVXrB_cAK01FcW6b5R1JftUefy2KL8lKDvuuiLMOZQ
bars_nightclubs_places,ChIJ4xu9DsI30xQR2v0ZGcUHo5E,places/ChIJ4xu9DsI30xQR2v0ZGcUHo5E/photos/AU_ZVEFYGmm8ATLqIbCpFZlUd_ve_wwl5Rg7JMAw3RKT5XvUtlLuq_YNxkxc-Ml32nw9U1H4k7lBGQwEMGzLv1Mvanje22CQ83WtYO12tztBqJRynbLUTE13TRZDFTLJ8cSrBs6op8lQg0731KMx4LFyv8L1APXn4uMNxhUeN13VGuvhLJjI3K1G6LaOhzm59rE9N4Yfk1aBhfmAN8PrW0rbGB80-ZYFghQc7-43v9dCmn0IjcEbbJpDwKb3r0R9flqM-Fu6qSkdNVSiKT8jzyWNMmxAKngoJoYB_E2lIiFIdj3y9A
bars_nightclubs_places,ChIJ51VhnNlI0xQR_BmuvxCrC90,places/ChIJ51VhnNlI0xQR_BmuvxCrC90/photos/AU_ZVEFNEz0IVeoQWLbIYsTM_5pGZQjYy38ILmoJJRiHAlRE79abqIJ0A8r2gEtXiTjnSOqUB8hcHjjuejeNRkkEiTM5STNpazBOtSwpr_CYW-80ZazwEjIVoKechKembWDZUmGlmEP_WcBXspBGsiWVXThmS9JXG1dswWNjWGeoeAJJnqNLAtM1OIcmewpCdzvCgF9rKtXZXKwmS5JzBQwC2zXDYiiurGCD_Vvj69pFIqK6qIXIzom3xmbnmnFgV7fgj_GLy97nQkk_28IecQFP8ftc2H_NiLwRAyH0BIjopd00Jw
bars_nightclubs_places,ChIJ7fpEEAFH0xQRtwrKrPLM4k0,places/ChIJ7fpEEAFH0xQRtwrKrPLM4k0/photos/AU_ZVEGMGt8_mSUgcXQSpZmM8Qo9PboiXpkT3dNsWuZFoghNaOjwt7z4AU9z2_qkj_AxiIRSewQ_TobmRWA1ONb-3WgIJeBfYebED2C9oN6ys4xvSRU45lttA3VlbJjQjSyT6Q9qAxpnYD3hXL5o51_Pc-COBPhd4T-NmYnmj9_ZKPoLMp3dzQxOsbmUzvlYyPHGderKxa04GSUlQZ4gsZyv2KwwIlvR_tqIiJs3AAFuF8A5DZlvJ_QMekYuAelHuSHf5LEf9mlVO7bhHjy1Oax7-Vp_r1ZG-ixjQwEyhGxx7A7i1w
bars_nightclubs_places,ChIJ8ygeYyxJ0xQRM6Gnf1Uw50o,places/ChIJ8ygeYyxJ0xQRM6Gnf1Uw50o/photos/AU_ZVEFXas9UrQfDbv3S69v4_dTZxsy-qNqeP-0qXPacyiunY4sbKM1l_sWw5Gm7ivR2XFibhjiHaTQRQqzT6CpD9yaq2wQA5jXu3Evf2QLDF64O7yizNavM8y_Dk250fbhHAaZY023oJMjb-WYD7j4L-Nf002cRXJgIKVOWH0S19Rgq4FLw6RuwqsG8k6I6gz0_0AsIVfr1Er5fHwfMLeHyz1cey1jrdE9kqIJJZ3bC3HNPUyYs0TjsZDh0YuYbe8usjjjS3mLAu8plx90vt2Kfb0AB1SGwdoujfHDXGWV_cK5-hg
bars_nightclubs_places,ChIJ9_RwBEtF0xQRIGiijHKI8Ug,places/ChIJ9_RwBEtF0xQRIGiijHKI8Ug/photos/AU_ZVEHWphDX2DTzhK3eE49Yh5xgeuQo3SrYCCVwqO_jn85v7u0T77ItZqu84JlFFoTRVfC_PENMU8lGuglelK0VZjkbWdz24lskH90-0cCHx4ESsyHT9aSfue79_mb8a4GdFfCfNu69mrrrx5FdJEbaAFrssvV0qk0Tb1tOe4bKGsBycs1KbL4Q6ZYHNPxI02sNQeOfyh3ws-Bd0Xk9nlFwX07LPmdVQUqEqR51WTK8UD54xtgOC3zBFv0n8o5TFsexKhUCXgUHFTG8oZjxYFw9uBSQZziKUP5g2dkrGeZtLoQn7g
bars_nightclubs_places,ChIJA51sYfhJ0xQRdQCLlFtICH4,places/ChIJA51sYfhJ0xQRdQCLlFtICH4/photos/AU_ZVEFdHVI8CqhqSO1v47VccW4Ix3Q7yDxSH_aVWJ-67Nvb3UYMIqvfCJw5AhDuiGg3v7HF62YpMEt11zUAZ22vIFw-jFSNW2ySlBkEcoJGnqMx_qjYbCE0mzt5iaKR1Ci0PMFG0I97ZQgOJrQGo-RY0D3Qd24WOX8CoQOA2C1XXl710nnX8J8YVssXSF5QRWsh6g1cOTRRZC6DCkZqPwdkHxuzsvGW8kTLRTyqlLzyqFSj5viAPHgDyyU88RL_azkMi0uMYm0NYKvjWBYt1hEI9noRIcvRxgjnnFV82vztp104hfqOKmZRxnMr4augM-20w2FujU64dIGSMavvilT9R54mAm7-1qHLgUJtky4PeKCDNDqa_GuXIs5t0mASfCyyppq-U5bPowzkQuvzY8nOIkk8BrfZb8gwr1gXZOsDHhiVjkMX
