id,name,formatted_address,lat,lng,types,rating,user_rating_count
ChIJm4vV1dd10xQRanU7i7weSMM,Selametli Cami,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.485839,32.808408799999995,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",4.8,11
ChIJQ5dCxE130xQRJ0BsinuKnQA,Selametli Musab Bin Umeyr Camii,"Selametli Şehit Emrah, Şht. Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.486698,32.809714299999996,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",5,3
ChIJC1JTLX920xQR2Gf0EIfG2J8,Selametli Belediyesi,"Selametli Şehit Emrah Mh. Pk:06830 Gölbaşı/ankara, Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.48767,32.810558,"[""point_of_interest"", ""establishment""]",4,4
ChIJb21YJgB30xQRPYWZzTfe-54,Selametli Aile Sağlığı Merkezi,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.4884013,32.8134128,"[""health"", ""point_of_interest"", ""establishment""]",,
ChIJseOzna5r0xQRh0KVOQ01Sb0,YALÇIN'IN VAYKİ VAY ÇİFTLİĞİ,"Mahmatlıbahçe, Küme Evler Sokağı, 06000 Gölbaşı/Ankara, Türkiye",39.5064539,32.8394264,"[""garden"", ""park"", ""point_of_interest"", ""establishment""]",,
ChIJ35O303120xQR5R5GnjNHVoo,Selametli Sağlık Ocağı,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.488949999999996,32.81458,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",,
ChIJRZgg6H520xQRFwNCafAVDaA,Keskin Market,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.488372999999996,32.812080099999996,"[""grocery_store"", ""point_of_interest"", ""food_store"", ""store"", ""food"", ""establishment""]",,
ChIJwSUIo0130xQREetnuciO2ko,Mahmatlibahce mah.kume evleri,"Mahmatlıbahçe, 06830 Gölbaşı/Ankara, Türkiye",39.507621199999996,32.839099,"[""condominium_complex"", ""point_of_interest"", ""establishment""]",3.5,2
ChIJL9i21H120xQRNRnJ7h2EqYI,Selametli Sağlık Ocağı,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.48883000000001,32.814375,"[""transit_station"", ""point_of_interest"", ""establishment""]",,
ChIJQ7qsXgB30xQRz5IRYn8hO4Y,Orhan Ağanın Malikhanesi,"Mahmatlıbahçe, 06830 Gölbaşı/Ankara, Türkiye",39.5071206,32.8357066,"[""garden"", ""park"", ""point_of_interest"", ""establishment""]",5,2
ChIJJcbniYd20xQRhk-39PwMphU,Tepebaşı,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.489999999999995,32.81796,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",,
ChIJ2XtElB130xQRBrtyNXadMm4,Hamdı Ağanın Çiftliği,"Mahmatlıbahçe, 06830 Gölbaşı/Ankara, Türkiye",39.5112379,32.8355417,"[""condominium_complex"", ""point_of_interest"", ""establishment""]",,
ChIJHVtzLX920xQR7y3mJMdPeoU,Eski Belediye,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.48779,32.810649999999995,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",,
ChIJSfjQhH520xQR1z1v0V29rzk,Çocuk Bahçesi,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.488499999999995,32.813595,"[""park"", ""point_of_interest"", ""establishment""]",3.3,4
ChIJS-dgKnx20xQRKtZIsNwWhqg,Selametli Sağlık Ocağı,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.48871,32.81417,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",,
