id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level,business_status,primary_photo_name,source_type,suggested_category,already_in_system
ChIJfVRA-iZI0xQRQUDeOdMypcA,Medical Park Ankara Hastanesi,"Kent Koop Mah 1868. Sok, Kentkoop, Batıkent Blv. No:15, 06680 Yenimahalle/Ankara, Türkiye",39.9664474,32.7095556,"[""general_hospital"", ""hospital"", ""health"", ""point_of_interest"", ""service"", ""establishment""]",3.8,5034,,OPERATIONAL,places/ChIJfVRA-iZI0xQRQUDeOdMypcA/photos/AU_ZVEFsU_LrsPbHkbKaR0EaBH5K4gsIz8SgKGSPuNJZys1fga8M7Q1cgbxpCN-z2JhQ2Vdez80pnAKsFjg-1Df_Yc_kKxldsr8C7FV93GlVYHooXuAXGVB7PCKn948yunmTRn7ZH1kqvVPz93KeWkZMUWeU_LFaZ4IYLtUQ1xCh_Q9Q-wSsXmtZ4DZhwbkblDjXDpqw1Vy1vpjg0IVELG8hsNYIhvHHsxbURjLk31JgCBu3PksYnQTngFYSNjhyd3jKCY4Hs30Ngxt6KEM_CQIZNDYnHOfYISbL4YNpRESt858jpg,mixed_nearby_31,unassigned,no
ChIJVwXPDhQ60xQR-1neYjXaY0c,Gimsa Market Elvankent Şubesi,"Atakent, Ahi Mesut Blv No:124, 06790 Etimesgut/Ankara, Türkiye",39.9482011,32.6097768,"[""general_store"", ""grocery_store"", ""food_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",3.7,4953,,OPERATIONAL,places/ChIJVwXPDhQ60xQR-1neYjXaY0c/photos/AU_ZVEFN3TkgwLzJC9-pRd7ZoNi2de_FoG-Hp5YKOVbnEKq9VQg0yEGxk4mEvX4S2mfoWzkffdKkmZHBuSsDN_r2iIV-YfsJpIu2xNfI-nHWnvme1iTXyBAay11Bwe6PUup2FU_rXJfXjZ-qTNvwRFh059EJp4xKflGWJJc1B8nLinKxw5mv7QZ8GQ0F6Qu7sbTmzT5WhDhUGqZc_Yym2CQv6Mmnf4DD9vaasu79Up-GkwUIAhbqfZ3N5ZXD9mXGeTLE4-ysvBEk2iJvpH5XNt95gKGeJTRIzLSB4VukNETvTBgdqr_2-bgXxtrKQwsXqdAmYKCt08Wh-fhhl9VRoyLlELSzMgVmVon1IKP3AgUinACW1DyEv0ch40rSAa1KaqeQ34CW2P8ap97xLfV54SOcvDiQYZ_MjdidbK8Z2JSFWHMSTw,mixed_nearby_52,unassigned,no
ChIJo9Z5KP450xQRrgJwrBulUl8,Eryaman YHT Gar,"Elvan, Ahi Elvan Cd. No:16, 06794 Etimesgut/Ankara, Türkiye",39.955792599999995,32.6303402,"[""point_of_interest"", ""transportation_service"", ""establishment""]",4.3,4785,,OPERATIONAL,places/ChIJo9Z5KP450xQRrgJwrBulUl8/photos/AU_ZVEFtGEO06EpUDZ3Lx8xjHJigIJvpB5plE6IiIDdYlc9T_xngeunaKXOcEZeDgpQzXu4NaFMTqBQhPb9gtBszXQDevJqmy8qGKZe0z6fD6L6WMj_QHZHunDBNnlw6wTNO58cpW1Ii8aXjEcKNmHw-WYjnLAG05vbvsAiBQ1iZAdWyZmenCovh55XlGbYm6A-DOWJ_Q_eMo_1xBzCOpxZKkf4tr9tCpMFirp_Bom6odoOtbd8RL-en0JTlag1TpaSXAe3QcjokXS-6T26dPjxMYbxWqSldiDzOJJdjBP5HUk_M81nGskOfOUzhvsx18_MupsHa_SpR_8siGtJ_idCUkmpyF2RB2bwY9f11bD5I85aHCeIMNPFias6byawKzmMjGAFGW7lK8hNYVVn5O-STiE2AHyFG8LVH6s1uGTdsZr4,mixed_nearby_52,unassigned,no
ChIJzdPY_t430xQRZq3gvU7AoBY,Bizim Köfteci Nurettin usta,"İnönü Mh 1763.Sok. Başkent Sanayi Sitesi, İnönü, 06370 Yenimahalle/Ankara, Türkiye",39.949658,32.713428199999996,"[""turkish_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.4,4647,PRICE_LEVEL_MODERATE,OPERATIONAL,places/ChIJzdPY_t430xQRZq3gvU7AoBY/photos/AU_ZVEFhSoC9Fh1gzPsKRKADxcIZwutYHKqinvGQ5jhfdbwjXV-KyjdRwlgwHy7VaQRgukhne-2ONOkH46rzMvQwqL4UPe0hWL3OWrPjC7X3NYElpFwiF_7jJoR66m3Kw_LefZRrJBP-JiynCl19cUyG2ZfL5ncEXPe9ms_JDMGrOkAYSCmupCwLhujGi9WwytsFXP3wE0zfjOHrmr5wOY3kGJmqG49v7bCIX_QfMepL66PxY651q0s7cpJXcHees7LlwyQVkTVmWZAyrdcY3ReNBWWiiH3moFVk-8a9shtscguyCg,mixed_nearby_18,unassigned,yes
ChIJMWxAHfBO0xQRhK0Cvi4zaVY,Ankara,"Eti Mahallesi, Celal Bayar Bulvarı No:78, Eti, 06930 Çankaya/Altındağ/Çankaya/Ankara, Türkiye",39.934852899999996,32.843539199999995,"[""train_station"", ""transit_station"", ""transportation_service"", ""point_of_interest"", ""establishment""]",4.4,4581,,OPERATIONAL,places/ChIJMWxAHfBO0xQRhK0Cvi4zaVY/photos/AU_ZVEHjEbj-b-ZOZKpuk2WwaOQFarVKHZxCDp8hc3wxaQsUF0wQWgEZeDd6_Fv69wjaCy6RrJE6hsoG1DPWAQJRqZOi3q4581JDZP_tQr4o63KGYcABgPCbXZ02y1OrwIlXHSQ8wDdDgE8ekBhzqn9DzUMEcNaBJoPTQAxzJSXRDN5bvR8yl0y2ibcGiCrJNKcrRFl8zl5y7OvF7BrSaMv3nHVqRvhWa9IzLDZIv7fJDCQ1Pt2jvKuYZLk1nErDFi6hl0UAC2RwGIVdsobrWHUIAErdih9bXChPdwAbaLaR_73zzIDH6bSfTDuR4XkhICk69f5__cS5nzCGCH-GGUEJeuRahaECDkqNYT2Kv1MvUNlE1mqnx1um1gY1aLqEF7OALgn937qLdkE8OnsNU8Tx2qW_ADpIr9iULhP3E6AacgrXEs91,mixed_nearby_2,unassigned,no
ChIJg1EjZV9J0xQR7GMolfYXhNc,Has Döner İvedik Şubesi,"İvedikköy, Anadolu Blv No: 171, 06378 Yenimahalle/Ankara, Türkiye",40.0030222,32.7720243,"[""family_restaurant"", ""kebab_shop"", ""catering_service"", ""food_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""service"", ""establishment""]",4.4,4552,PRICE_LEVEL_MODERATE,OPERATIONAL,places/ChIJg1EjZV9J0xQR7GMolfYXhNc/photos/AU_ZVEHmfKPTkrCOX3nFKZ0A2GvZxrbwrQjuQq6ZQgw42n6mxi0mMGV7vIZUpg_a6MDps_u3ep_aSCSuEjYWUUhHkFES8Q-6dhzgS6Be2uc1V2_bu60xgMRLzxhryiOIxOlRX_yqrUkzjc76hJGoIN60vTUG7nGXORd0aDwwqbD3WScRFVD6QFfm9RcB8IygyOBj_B_20_c4OJRTRroqYDbi0amXglFBAFEsNxNXbXGXu6SbSBs_MhfHhdnWIfzw2qkUa_AZnmHDbdGYdv_3fEfqZ1_bJ7t456-K0qBhXDnLjqD8GiVIj4YIdRd4a2a_naBJeXtGNTiGokhs9zl62cBT1K9MnYITwE-ABx2h6uKi6G07efaRKw0HVBsqZhN45mQNdRU7QgbgAjEwmdlu3ep42PspJy8L6n5000yi2cMSXf781tx4,mixed_nearby_15,unassigned,yes
ChIJG_ewNsM40xQRUxhGxWoCPBA,Cüneyt Gökçer Theatre,"Koru, Ahmet Taner Kışlalı Cd. No:1, 06810 Çayyolu / Çankaya/Çankaya/Ankara, Türkiye",39.883182399999995,32.683202400000006,"[""performing_arts_theater"", ""association_or_organization"", ""event_venue"", ""point_of_interest"", ""establishment""]",4.7,4238,,OPERATIONAL,places/ChIJG_ewNsM40xQRUxhGxWoCPBA/photos/AU_ZVEHpuhLP4i2lXjxCZb3OPBcBom_qdVuAQYo0Hwboqua4PO-TRtCWAjYW_qyU3xTyypXZc0rpJEOyT2a0lVlEjSBDeqiqch9yFLq4nAmIr1xmd4BrQsptV-kvg4z_m72YzEE7-zpEPT4iOI7Dl2ibMtPve1BmdE-wVIpaZq9qX2extOqZ0i4yRC_TamMyQA74TITHeCVndyqd9XA4eGSdxm2HIIntsQxAe-ys9Wb3iF7N358hIZ2fRfb0ZIcvn9dIjjd4ccZEjZ4oxb239STenlcBxE7jdpHAsF8UW7HZ3wkPsk8LHefpOlSDdrrLJgJXGyo3ZNtIDV5R6u5wduUDkon6j-xAmOF5qd_KYL0zEhvmrIhA7VLuz5WyJBf2aPumgmO7q6UJ7aRY53gWi4nWw4R3KWNV3ZnDzqLKtLHs3Y3gjPHB,mixed_nearby_26,unassigned,no
ChIJBy9X8WE60xQRc0EuBPWdMgw,Lokman Hekim Üniversitesi Ankara Hastanesi,"Polatlı 2 Caddesi, Andiçen Mh, İdil Sk. No:44, 06930 Sincan/Ankara, Türkiye",39.956365,32.58356,"[""doctor"", ""hospital"", ""health"", ""point_of_interest"", ""service"", ""establishment""]",4.2,4197,,OPERATIONAL,places/ChIJBy9X8WE60xQRc0EuBPWdMgw/photos/AU_ZVEGs4EuRuuGd58a1AqeW-3mmwXWUXsbiMBR-mNTN_fkGYftOdFiYfXnHxapwbyeTG8TSysPg1RLJnfIqruvCepM9-sFQAssVhcIkulj_EaItZxfcoF4GSRO4XGCO5vr4oqqXeUzGc3opFm3nc_-57pSQAIrkkluvXjzSPAYNnOkqnv_V7Djbf-nLAIyuiFEXVeFI06eEpZiiQ152L0Xg08KGk2Qj7KnmMyRzoWGoFAZ5zllR2_RTbKb0DkMpUgV7bkQjWituQDOZ1-qkc4GoHLV_3C3WlKz_o_kbaj3fThqA0A,mixed_nearby_94,unassigned,no
ChIJ6fz-LMEw0xQROzXet0Ihpxw,Decathlon,"Tunahan, Dumlupınar 30 Ağustos Cd. No: 2 Kat: 0Etimesgut, 06824 Etimesgut/Ankara, Türkiye",39.982834,32.610639,"[""sporting_goods_store"", ""point_of_interest"", ""store"", ""establishment""]",4.3,4186,,OPERATIONAL,places/ChIJ6fz-LMEw0xQROzXet0Ihpxw/photos/AU_ZVEFr4UqFWxVWJQdpyVW13eZ8AD46QP3R7zMDhLGf9Eo66h6tTn73vNup7bahbAxmsfRYN0s85XD-yTVM03qGZjRv4N70xKmF2snfDM1xn9qCsSUv4Yj2vdBrC2TU9kA4zd6DCrQP_7haSx0KNEE_VDyFDEMZuKWyFjC0K8sbdWM_ZB1sfr8pMHVNbUMKukV2G-1E-_quBH1yBdhYdHvj2tvhLoSASm_oWdS_B_w2HKU87Qa4MeoBolaYeXhKMDftpnsjFjM44Lb0SWJ8-k_2NEoNSM86gzG2u51eYeJy81pnLqKL_DCJ-yVrlbWKKpc6CtSAz1j9y5rD11eKWNwXYAv9NCkAWcPOQwxwHLL1caxBZlXzwfByUB9RsJJIeSNYhVnZ1IxyCqFstYl1P2JpVzD9_fdmZrZnyzjaHUYk31a1tok,mixed_nearby_65,unassigned,no
ChIJiyiMMU5Q0xQRFkalel7Fv5E,Anka Gross Mamak,"Cengizhan, Sultan Fatih Cd. No:24, 06480 Mamak/Ankara, Türkiye",39.893049,32.9311372,"[""supermarket"", ""grocery_store"", ""food_store"", ""food"", ""point_of_interest"", ""store"", ""establishment""]",3.8,4139,,OPERATIONAL,places/ChIJiyiMMU5Q0xQRFkalel7Fv5E/photos/AU_ZVEGWfa1Hp9Nhf8t1_16fOptaqumPgiKEjM7mezAZlfOgUH0OYBCrCX-zap2lZryXWvL45u-8kJ6TynpnB-45Lt2pwy1oZW-aIoF1EPHm_nU0iN9_Cqzyy4yQDE_5fcEuEIYSENBUS355HA8Sec7wWWmMxTtpuYFoFcwx-wXSlZ0gGDpsNTP_ukXuH0QdpL90NLlbtQq_MLWWfVnSUJcomDuQAhwHEXm-gIfrzDoQBo-RA3mH4IQUOIlFVxUfXUBv8nQklzAkcFfhU7isiTorMI6YpIW6NaxzaWEIGjAtvysJMc5JCnc5Mv_AezeI6bwmmHHTUDrQ3HU_uC4hwhU35bE6W1pkk8kzQdzXHQVGQ_NgOzfJ89WAkc7i6xfPAuyUlrCpa4ckAdmDKnUbsB00ccCSGLMu1ZiGrPC2y7G_CAWrpg,mixed_nearby_6,unassigned,no
