id,name,formatted_address,lat,lng,types,rating,user_rating_count,found_by
ChIJDxsyhgBT0xQRJfoeUoT26NI,Meşe Club,"Oğulbey Mh. Kümeevler No:406, Oğulbey, 06000 Gölbaşı/Ankara, Türkiye",39.7111352,32.8335712,"[""point_of_interest"", ""establishment""]",3.9,237.0,name
ChIJbQXDk70_0xQRb8hWzjYfcno,Villa Marry Garden & Lounge,"Kızılcaşar, Incek Şht. Savcı Mehmet Selim Kiraz Blv No:317, 06770 Gölbaşı/Ankara, Türkiye",39.8128457,32.7116747,"[""wedding_venue"", ""event_venue"", ""point_of_interest"", ""establishment""]",4.5,129.0,name
ChIJq6FmhBI_0xQRSbJOLFZKGqE,Club Maviçam,"Alacaatlı, 06810 Çankaya/Ankara, Türkiye",39.8348755,32.6932254,"[""point_of_interest"", ""establishment""]",4.7,42.0,name
